排名,片名,评分,导演,主演,上映时间,制片国家/地区,类型,电影图
131,爱在日落黄昏时,8.8,理查德·林克莱特RichardLinklater,伊桑·霍克EthanHawke,2004,美国法国,剧情爱情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561542458.jpg,
132,恐怖直播,8.8,金秉祐Byeong-wooKim,河正宇Jung-wooHa/李璟荣Kyeong-y,2013,韩国,剧情犯罪悬疑,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2016930906.jpg,
133,完美的世界,9.1,克林特·伊斯特伍德ClintEastwood,凯文·科斯特纳KevinCos,1993,美国,剧情犯罪,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2190556408.jpg,
134,神偷奶爸,8.6,皮艾尔·柯芬PierreCoffin/克里斯·雷纳德ChrisRenaud,,2010,美国法国,喜剧动画冒险,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792776858.jpg,
135,怪兽电力公司,8.7,彼特·道格特PeteDocter/大卫·斯沃曼DavidSilverman,约,2001,美国,儿童喜剧动画奇幻冒险,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2513247938.jpg,
136,功夫,8.6,周星驰StephenChow,周星驰StephenChow/元秋QiuYuen/,2004,中国大陆中国香港,动作喜剧犯罪奇幻,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2219011938.jpg,
137,玩具总动员3,8.8,李·昂克里奇LeeUnkrich,汤姆·汉克斯TomHanks/蒂姆·艾,2010,美国,喜剧动画奇幻冒险,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1283675359.jpg,
138,人生果实,9.5,伏原健之KenshiFushihara,津端修一ShûichiTsubata/津,2017,日本,纪录片,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2544912792.jpg,
139,血战钢锯岭,8.7,梅尔·吉布森MelGibson,安德鲁·加菲尔德AndrewGarfield/,2016,美国澳大利亚,剧情传记历史战争,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2398141939.jpg,
140,傲慢与偏见,8.6,乔·怀特JoeWright,凯拉·奈特莉KeiraKnightley/马修·,2005,法国英国美国,剧情爱情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2016401659.jpg,
141,风之谷,8.9,宫崎骏HayaoMiyazaki,岛本须美SumiShimamoto/松田洋治Y,1984,日本,动画奇幻冒险,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1917567652.jpg,
142,时空恋旅人,8.7,理查德·柯蒂斯RichardCurtis,多姆纳尔·格里森DomhnallGl,2013,英国,喜剧爱情奇幻,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2070153774.jpg,
143,教父3,8.9,弗朗西斯·福特·科波拉FrancisFordCoppola,阿尔·帕西诺A,1990,美国,剧情犯罪,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2169664351.jpg,
144,天书奇谭,9.2,王树忱ShuchenWang/钱运达YundaQian,丁建华JianhuaDin,1983(中国大陆),中国大陆,动画奇幻,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2515539487.jpg,
145,上帝之城,8.9,费尔南多·梅里尔斯FernandoMeirelles/卡迪亚·兰德KátiaLund&nbsp,未知,未知,未知,未知,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p455677490.jpg,
146,电锯惊魂,8.7,未知,雷·沃纳尔LeighWhannell/加利·艾,2004,美国,悬疑惊悚恐怖,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1421159978.jpg,
147,喜宴,8.9,詹姆斯·温JamesWan,赵文瑄WinstonChao/郎雄SihungLung/归亚,1993,中国台湾美国,剧情喜剧爱情同性家庭,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2173713676.jpg,
148,被解救的姜戈,8.7,李安AngLee,杰米·福克斯JamieFoxx/,2012,美国,剧情动作西部冒险,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1959232369.jpg,
149,英雄本色,8.7,昆汀·塔伦蒂诺QuentinTarantino,周润发Yun-FatChow/狄龙LungTi/张国,1986,中国香港,剧情动作犯罪,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2504997087.jpg,
150,谍影重重3,8.8,吴宇森JohnWoo,马特·达蒙MattDamon/,2007,美国德国,动作悬疑惊悚,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792223507.jpg,
151,七武士,9.2,黑泽明AkiraKurosawa,三船敏郎ToshirôMifune/志村乔,1954,日本,动作冒险剧情,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2215886505.jpg,
152,哪吒闹海,9.1,严定宪DingxianYan/王树忱ShuchenWang,梁正晖Zhenghui,1979,中国大陆,冒险动画奇幻,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2516566783.jpg,
153,岁月神偷,8.7,罗启锐AlexLaw,吴君如SandraNg/任达华SimonYam/钟绍,2010,中国香港中国大陆,剧情家庭,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456666151.jpg,
154,我是山姆,8.9,杰茜·尼尔森JessieNelson,SeanPenn/DakotaFanning/Mi,2001,美国,剧情家庭,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p652417775.jpg,
155,釜山行,8.5,延尚昊Sang-hoYeon,孔侑YooGong/郑有美Yu-miJung/马,2016,韩国,动作惊悚灾难,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2360940399.jpg,
156,头号玩家,8.7,史蒂文·斯皮尔伯格StevenSpielberg,泰伊·谢里丹TyeSheri,2018,美国,动作科幻冒险,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2516578307.jpg,
157,疯狂原始人,8.7,科克·德·米科KirkDeMicco/克里斯·桑德斯ChrisSanders主演,未知,未知,未知,未知,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1867084027.jpg,
158,纵横四海,8.8,未知,周润发Yun-FatChow/张国荣LeslieCheung,1991,中国香港,剧情喜剧动作犯罪,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2597918718.jpg,
159,三块广告牌,8.7,吴宇森JohnWoo,弗兰西斯·麦克多蒙德France,2017,美国英国,剧情犯罪,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2510081688.jpg,
160,心迷宫,8.7,马丁·麦克唐纳MartinMcDonagh,霍卫民WeiminHuo/王笑天XiaotianWang,2014,中国大陆,剧情犯罪悬疑,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2276780256.jpg,
161,达拉斯买家俱乐部,8.8,忻钰坤YukunXin,马修·麦康纳MatthewMcCon,2013,美国,剧情传记同性,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2166160837.jpg,
162,哈利·波特与阿兹卡班的囚徒,8.7,让-马克·瓦雷Jean-MarcVallée,丹尼尔·雷德克里夫DanielRadcliffe/Emma,2004,英国美国,奇幻冒险,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910812549.jpg,
163,萤火虫之墓,8.7,AlfonsoCuarón,辰己努/白石绫乃/志乃原良子1988/日本/动画剧情战争,未知,未知,未知,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1157334208.jpg,
164,荒蛮故事,8.8,高畑勋IsaoTakahata,未知,2014,阿根廷西班牙,剧情喜剧犯罪,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2584519452.jpg,
165,真爱至上,8.6,未知,达里奥·葛兰帝内提Darío,2003,英国美国法国,喜剧剧情爱情,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p475600770.jpg,
166,贫民窟的百万富翁,8.6,达米安·斯兹弗隆DamiánSzifron,休·格兰特HughGrant/柯林,2008,英国美国,剧情爱情,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2434249040.jpg,
167,东邪西毒,8.6,理查德·柯蒂斯RichardCurtis,戴夫,1994,中国香港中国台湾,剧情动作爱情武侠古装,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1982176012.jpg,
168,你的名字。,8.4,丹尼·鲍尔DannyBoyle/洛芙琳·坦丹LoveleenTandan,张国荣LeslieCheung/林青霞Brigitte,2016,日本,剧情爱情动画,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2395733377.jpg,
169,卢旺达饭店,8.9,王家卫KarWaiWong,神木隆之介RyûnosukeKamiki/上,2004,英国南非意大利,剧情历史战争,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p470419493.jpg,
170,记忆碎片,8.6,新海诚MakotoShinkai,唐·钱德尔DonCheadle/苏菲·奥,2000,美国,犯罪剧情悬疑惊悚,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p641688453.jpg,
171,爆裂鼓手,8.7,特瑞·乔治TerryGeorge,盖·皮尔斯GuyPearce/,2014,美国,剧情音乐,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2220776342.jpg,
172,花样年华,8.7,克里斯托弗·诺兰ChristopherNolan,迈尔斯·特勒MilesTeller/,2000,中国香港,剧情爱情,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910828286.jpg,
173,黑天鹅,8.6,达米恩·查泽雷DamienChazelle,梁朝伟TonyLeungChiuWai/张曼玉Ma,2010,美国,剧情惊悚,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2549648344.jpg,
174,忠犬八公物语,9.2,王家卫KarWaiWong,娜塔莉·波特曼Natalie,1987,日本,剧情,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1576418852.jpg,
175,一个叫欧维的男人决定去死,8.8,达伦·阿罗诺夫斯基DarrenAronofsky,山本圭KeiYamamoto/井川比佐志Hisa,2015,瑞典,剧情,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2406624993.jpg,
176,黑客帝国3：矩阵革命,8.7,AndyWachowski/LarryWachowski,基努·里维斯KeanuReeves,2003,美国澳大利亚,动作科幻,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2220873438.jpg,
177,模仿游戏,8.7,莫滕·泰杜姆MortenTyldum,本尼迪克特·康伯巴奇BenedictC,2014,英国美国,剧情传记战争同性,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2255040492.jpg,
178,哈利·波特与密室,8.6,ChrisColumbus,丹尼尔·雷德克里夫DanielRadcliffe/艾玛,2002,美国英国德国,奇幻冒险,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1082651990.jpg,
179,头脑特工队,8.7,彼特·道格特PeteDocter/罗纳尔多·德尔·卡门RonaldoDelCarmen&nb,未知,未知,未知,未知,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2266293606.jpg,
180,你看起来好像很好吃,8.9,未知,山口胜平KappeiYamaguchi/爱河,2010,日本,剧情动画儿童,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p709670262.jpg,
181,雨人,8.7,藤森雅也MasayaFujimori,达斯汀·霍夫曼DustinHoffman,1988,美国,剧情,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p942376281.jpg,
182,未麻的部屋,8.9,巴瑞·莱文森BarryLevinson,岩男润子JunkoIwao/松本梨香RicaMatsu,1997,日本,动画奇幻惊悚,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1351050722.jpg,
183,无敌破坏王,8.7,今敏SatoshiKon,约翰·C·赖利JohnC.Reilly/萨拉,2012,美国,喜剧动画奇幻冒险,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1735642656.jpg,
184,新世界,8.8,瑞奇·莫尔RichMoore,李政宰Jung-JaeLee/崔岷植Min-sik,2013,韩国,剧情犯罪,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1903379979.jpg,
185,海街日记,8.8,朴勋政Hoon-jungPark,绫濑遥HarukaAyase/长泽雅美M,2015,日本,剧情家庭,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2232247487.jpg,
186,冰川时代,8.6,是枝裕和HirokazuKoreeda,未知,未知,未知,未知,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910895719.jpg,
187,恋恋笔记本,8.5,卡洛斯·沙尔丹哈CarlosSaldanha/克里斯·韦奇ChrisWedge主演,瑞恩·高斯林RyanGosling/,2004,美国,剧情爱情,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p483604864.jpg,
188,二十二,8.7,未知,2015/中国大陆/纪录片,未知,未知,未知,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2457609817.jpg,
189,惊魂记,9.0,尼克·卡索维茨NickCassavetes,未知,1960,美国,悬疑惊悚恐怖,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1021883305.jpg,
190,海边的曼彻斯特,8.6,郭柯KeGuo,安东尼·博金斯Antho,2016,美国,剧情家庭,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2421855655.jpg,
191,房间,8.8,未知,卡西·阿弗莱克CaseyAffle,2015,爱尔兰加拿大英国美国,剧情家庭,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2259715855.jpg,
192,虎口脱险,8.9,阿尔弗雷德·希区柯克AlfredHitchcock,布丽·拉尔森BrieLarson,1966,法国英国,喜剧战争,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2399597512.jpg,
193,恐怖游轮,8.5,肯尼斯·罗纳根KennethLonergan,路易·德·菲耐斯LouisdeFunès,2009,英国澳大利亚,剧情悬疑惊悚,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p462470694.jpg,
194,奇迹男孩,8.6,伦尼·阿伯拉罕森LennyAbrahamson,梅利莎·乔治Melissa,2017,美国中国香港,剧情儿童家庭,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2507709428.jpg,
195,魔女宅急便,8.6,杰拉尔·乌里GérardOury,雅各布·特伦布莱JacobTr,1989,日本,动画奇幻冒险,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456676352.jpg,
196,人工智能,8.6,克里斯托弗·史密斯ChristopherSmith,高山南MinamiTakayama/佐久间玲Re,2001,美国,剧情科幻,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792257137.jpg,
197,雨中曲,9.0,斯蒂芬·卓博斯基StephenChbosky,海利·乔·奥斯蒙Haley,1952,美国,喜剧歌舞爱情,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1612355875.jpg,
198,疯狂的石头,8.5,宫崎骏HayaoMiyazaki,吉恩·,未知,未知,未知,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p712241453.jpg,
199,小偷家族,8.7,史蒂文·斯皮尔伯格StevenSpielberg,郭涛TaoGuo/刘桦HuaLiu/连晋TeddyLin2006/中国大陆中国香港/喜剧犯罪,2018,日本,剧情犯罪家庭,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2530599636.jpg,
200,绿里奇迹,8.8,斯坦利·多南StanleyDonen/吉恩·凯利GeneKelly,未知,1999,美国,犯罪剧情奇幻悬疑,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p767586451.jpg,
201,爱在午夜降临前,8.8,理查德·林克莱特RichardLinklater,伊桑·霍克EthanHawke,2013,美国希腊,剧情爱情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2074715729.jpg,
202,罗生门,8.8,黑泽明AkiraKurosawa,三船敏郎ToshirôMifune/京町子,1950,日本,剧情犯罪悬疑,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2564689879.jpg,
203,终结者2：审判日,8.7,詹姆斯·卡梅隆JamesCameron,阿诺·施瓦辛格ArnoldSchwarz,1991,美国法国,动作科幻,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910909085.jpg,
204,初恋这件小事,8.4,普特鹏·普罗萨卡·那·萨克那卡林PuttipongPromsakaNaSakolnakorn/华森·波克彭,未知,未知,未知,未知,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p767451487.jpg,
205,海洋,9.1,未知,,2009,法国瑞士西班牙美国阿联酋,纪录片,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1139181294.jpg,
206,魂断蓝桥,8.8,雅克·贝汉JacquesPerrin/雅克·克鲁奥德JacquesCluzaud,费雯·丽VivienLeigh/罗伯特·,1940,美国,剧情爱情战争,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2351134499.jpg,
207,可可西里,8.8,茂文·勒鲁瓦MervynLeRoy,多布杰Duobujie/张磊LeiZhang/亓亮QiL,2004,中国大陆中国香港,剧情犯罪,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2414771522.jpg,
208,燃情岁月,8.8,陆川ChuanLu,布拉德·皮特BradPitt/安东,1994,美国,剧情爱情战争西部,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1023654037.jpg,
209,2001太空漫游,8.8,爱德华·兹威克EdwardZwick,凯尔·杜拉KeirDullea/,1968,英国美国,科幻惊悚冒险,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2560717825.jpg,
210,穿越时空的少女,8.6,斯坦利·库布里克StanleyKubrick,仲里依纱RiisaNaka/石田卓也Takuya,2006,日本,剧情爱情科幻动画,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2079334286.jpg,
211,牯岭街少年杀人事件,8.8,细田守MamoruHosoda,张震ChenChang/杨静怡LisaYang/张,1991,中国台湾,剧情犯罪,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p848381236.jpg,
212,城市之光,9.3,杨德昌EdwardYang,查理·卓别林CharlesChaplin/弗吉尼亚·,1931,美国,喜剧剧情爱情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2170238828.jpg,
213,完美陌生人,8.5,CharlesChaplin,马可·贾利尼MarcoGiallini,2016,意大利,剧情喜剧,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2522331945.jpg,
214,无耻混蛋,8.6,保罗·格诺维瑟PaoloGenovese,布拉德·皮特BradPitt/梅拉尼·罗兰M,2009,德国美国,剧情犯罪,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2575043939.jpg,
215,新龙门客栈,8.6,QuentinTarantino,张曼玉MaggieCheung/林青霞Brigitte,1992,中国香港中国大陆,动作爱情武侠古装,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1421018669.jpg,
216,源代码,8.4,李惠民RaymondLee,杰克·吉伦哈尔JakeGyllenhaal/,2011,美国加拿大,科幻悬疑惊悚,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p988260245.jpg,
217,阿飞正传,8.5,邓肯·琼斯DuncanJones,张国荣LeslieCheung/张曼玉MaggieC,1990,中国香港,犯罪剧情爱情,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2525770523.jpg,
218,青蛇,8.5,王家卫KarWaiWong,张曼玉MaggieCheung/王祖贤JoeyWang/,1993,中国香港中国大陆,剧情爱情奇幻古装,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p584021784.jpg,
219,色，戒,8.5,徐克HarkTsui,梁朝伟TonyLeungChiuWai/汤唯WeiTang/,2007,中国台湾中国大陆美国中国香港,剧情爱情情色,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p453716305.jpg,
220,香水,8.5,李安AngLee,本·卫肖BenWhishaw/艾伦·瑞克,2006,德国法国西班牙美国,剧情犯罪奇幻,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2441127736.jpg,
221,谍影重重2,8.7,汤姆·提克威TomTykwer,马特·达蒙MattDamon/,2004,美国德国,动作悬疑惊悚,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p667644866.jpg,
222,遗愿清单,8.6,保罗·格林格拉斯PaulGreengrass,杰克·尼科尔森JackNicholson/摩根,2007,美国,冒险喜剧剧情,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p708613284.jpg,
223,地球上的星星,8.9,罗伯·莱纳RobReiner,达席尔·萨法瑞DarsheelSafary/阿,2007,印度,剧情儿童家庭,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1973489335.jpg,
224,血钻,8.7,阿米尔·汗AamirKhan,莱昂纳多·迪卡普里奥Leonardo,2006,美国德国,剧情惊悚冒险,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1244017073.jpg,
225,大佛普拉斯,8.7,爱德华·兹威克EdwardZwick,庄益增YizengZhuang/陈竹昇Chu-sh,2017,中国台湾,剧情喜剧犯罪,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505928032.jpg,
排名,片名,评分,导演,主演,上映时间,制片国家/地区,类型,电影图
排名,片名,评分,导演,主演,上映时间,制片国家/地区,类型,电影图
排名,片名,评分,导演,主演,上映时间,制片国家/地区,类型,电影图
