排名,片名,评分,导演,主演,上映时间,制片国家/地区,类型,电影图
30,乱世佳人,9.3,李·昂克里奇LeeUnkrich/阿德里安·莫利纳AdrianMolina,,1939,美国,剧情历史爱情战争,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg,
31,末代皇帝,9.2,维克多·弗莱明VictorFleming/乔治·库克GeorgeCukor,费,1987,英国意大利中国大陆法国,剧情传记历史,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg,
32,摔跤吧！爸爸,9.0,贝纳尔多·贝托鲁奇BernardoBertolucci,尊龙JohnLone/陈,2016,印度,剧情传记运动家庭,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2457983084.jpg,
33,何以为家,9.1,涅提·蒂瓦里NiteshTiwari,阿米尔·汗AamirKhan/法缇玛,2018,黎巴嫩法国美国,剧情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2555295759.jpg,
34,指环王3：王者无敌,9.2,娜丁·拉巴基NadineLabaki,扎因·拉费阿Zainal-Rafeea/,2003,美国新西兰,剧情动作奇幻冒险,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910825503.jpg,
35,少年派的奇幻漂流,9.1,彼得·杰克逊PeterJackson,伊利亚·伍德ElijahWood/西恩,2012,美国中国台湾英国加拿大,剧情奇幻冒险,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg,
36,飞屋环游记,9.0,李安AngLee,苏拉·沙玛SurajSharma/伊尔凡·可汗Irrfan,2009,美国,剧情喜剧动画冒险,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p485887754.jpg,
37,十二怒汉,9.4,彼特·道格特PeteDocter/鲍勃·彼德森BobPeterson,爱德,1957,美国,剧情,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg,
38,鬼子来了,9.2,SidneyLumet,亨利·方达HenryFonda/马丁·鲍尔萨姆Marti,2000,中国大陆,剧情喜剧,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553104888.jpg,
39,天空之城,9.1,姜文WenJiang,姜文WenJiang/香川照之TeruyukiKagawa/,1986,日本,动画奇幻冒险,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1446261379.jpg,
40,素媛,9.2,宫崎骏HayaoMiyazaki,田中真弓MayumiTanaka/横泽启子Ke,2013,韩国,剧情,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg,
41,哈尔的移动城堡,9.1,李濬益Jun-ikLee,薛景求Kyung-guSol/严志媛Ji-wonUhm,2004,日本,动画奇幻冒险,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2174346180.jpg,
42,大话西游之月光宝盒,9.0,宫崎骏HayaoMiyazaki,倍赏千惠子ChiekoBaishô/木村拓,1995,中国香港中国大陆,喜剧爱情奇幻古装,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561721372.jpg,
43,天堂电影院,9.2,刘镇伟JeffreyLau,周星驰StephenChow/吴孟达ManTatNg,1988,意大利法国,剧情爱情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559577569.jpg,
44,罗马假日,9.0,朱塞佩·托纳多雷GiuseppeTornatore,安东内拉·阿蒂利Anton,1953,美国,喜剧剧情爱情,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg,
45,闻香识女人,9.1,威廉·惠勒WilliamWyler,奥黛丽·赫本AudreyHepburn/格,1992,美国,剧情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2550757929.jpg,
46,辩护人,9.2,马丁·布莱斯MartinBrest,阿尔·帕西诺AlPacino/克里斯,2013,韩国,剧情,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg,
47,哈利·波特与魔法石,9.0,杨宇硕Woo-seokYang,宋康昊Kang-hoSong/金英爱Yeong-ae,未知,未知,未知,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p804947166.jpg,
48,我不是药神,9.0,ChrisColumbus,DanielRadcliffe/EmmaWatson/RupertGrint2001/美国英国/奇幻冒险,2018,中国大陆,剧情喜剧,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.jpg,
49,搏击俱乐部,9.0,未知,未知,1999,美国德国,剧情动作悬疑惊悚,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910926158.jpg,
50,死亡诗社,9.1,文牧野MuyeWen,徐峥ZhengXu/王传君ChuanjunWang/周,1989,美国,剧情,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2575465690.jpg,
51,教父2,9.2,弗朗西斯·福特·科波拉FrancisFordCoppola,阿尔·帕西诺A,1974,美国,剧情犯罪,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg,
52,指环王2：双塔奇兵,9.1,彼得·杰克逊PeterJackson,伊利亚·伍德ElijahWood/西恩,2002,美国新西兰,剧情动作奇幻冒险,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p909265336.jpg,
53,狮子王,9.0,RogerAllers/罗伯·明可夫RobMinkoff,乔纳森·泰勒·托马,1994,美国,动画冒险歌舞,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2277799019.jpg,
54,大闹天宫,9.3,万籁鸣LaimingWan/唐澄ChengTang,邱岳峰YuefengQiu/,1961(中国大陆),1964(中国大陆),1978(中国大陆),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg,
55,窃听风暴,9.1,弗洛里安·亨克尔·冯·多纳斯马尔克FlorianHenckelvonDonnersmarck&n,未知,未知,未知,未知,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg,
56,指环王1：魔戒再现,9.0,未知,伊利亚·伍德ElijahWood/西恩,2001,新西兰美国,剧情动作奇幻冒险,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1354436051.jpg,
57,猫鼠游戏,9.0,彼得·杰克逊PeterJackson,莱昂纳多·迪卡普里奥L,2002,美国加拿大,传记犯罪剧情,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg,
58,两杆大烟枪,9.1,史蒂文·斯皮尔伯格StevenSpielberg,JasonFlemyng/DexterFletcher/NickMoran1998/英国/剧情喜剧犯罪,未知,未知,未知,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg,
59,美丽心灵,9.0,GuyRitchie,未知,2001,美国,传记剧情,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg,
60,饮食男女,9.1,未知,罗素·克劳RussellCrowe/艾德·哈,1994,中国台湾美国,剧情家庭,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg,
61,钢琴家,9.2,朗·霍华德RonHoward,郎雄SihungLung/杨贵媚Kuei-MeiYang/吴,2002,法国德国英国波兰,剧情传记历史战争音乐,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792376093.jpg,
62,黑客帝国,9.0,李安AngLee,艾德里安·布洛迪AdrienBrod,未知,未知,未知,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.jpg,
63,飞越疯人院,9.1,罗曼·波兰斯基RomanPolanski,未知,1975,美国,剧情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg,
64,V字仇杀队,8.9,安迪·沃卓斯基AndyWachowski/拉娜·沃卓斯基LanaWachowski主,杰克·尼科尔森JackNichols,2005,美国英国德国,剧情动作科幻惊悚,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1465235231.jpg,
65,本杰明·巴顿奇事,8.9,未知,娜塔莉·波特曼NataliePor,2008,美国,剧情爱情奇幻,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg,
66,看不见的客人,8.8,米洛斯·福尔曼MilošForman,凯特·布兰切特CateBlanchett/,2016,西班牙,剧情犯罪悬疑惊悚,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg,
67,让子弹飞,8.8,詹姆斯·麦克特格JamesMcTeigue,马里奥·卡萨斯MarioCasas/阿,2010,中国大陆中国香港,剧情喜剧动作西部,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg,
68,西西里的美丽传说,8.9,大卫·芬奇DavidFincher,姜文WenJiang/葛优YouGe/周润发Yun-F,2000,意大利美国,剧情战争情色,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2448029416.jpg,
69,小鞋子,9.2,奥里奥尔·保罗OriolPaulo,莫妮卡·贝鲁奇Monica,1997,伊朗,剧情儿童家庭,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2173580536.jpg,
70,拯救大兵瑞恩,9.0,姜文WenJiang,法拉赫阿米尔·哈什米安AmirFa,1998,美国,剧情历史战争,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg,
71,海豚湾,9.3,朱塞佩·托纳多雷GiuseppeTornatore,汤姆·汉克斯TomHanks,2009,美国,纪录片,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559579779.jpg,
72,绿皮书,8.9,马基德·马基迪MajidMajidi,RichardO'Barry/路易·西霍,2018,美国,剧情喜剧传记,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2549177902.jpg,
73,情书,8.9,史蒂文·斯皮尔伯格StevenSpielberg,维果·莫腾森ViggoMortensen/,1995,日本,剧情爱情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p449897379.jpg,
74,穿条纹睡衣的男孩,9.1,路易·西霍尤斯LouiePsihoyos,中山美穗MihoNakayama/丰川悦司Ets,2008,英国美国,剧情战争,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1473670352.jpg,
75,音乐之声,9.0,彼得·法雷里PeterFarrelly,阿萨·巴特菲尔德AsaButterfield,1965,美国,剧情传记爱情歌舞,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p453788577.jpg,
76,海蒂和爷爷,9.2,阿兰·葛斯彭纳AlainGsponer,阿努克·斯特芬AnukSteffen/,2015,德国瑞士南非,剧情冒险家庭,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2554525534.jpg,
77,美国往事,9.2,赛尔乔·莱翁内SergioLeone,罗伯特·德尼罗RobertDeNiro,1984,美国意大利,犯罪剧情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg,
78,致命魔术,8.9,克里斯托弗·诺兰ChristopherNolan,休·杰克曼HughJackman,2006,英国美国,剧情悬疑惊悚,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg,
79,低俗小说,8.8,昆汀·塔伦蒂诺QuentinTarantino,约翰·特拉沃尔塔JohnTra,1994,美国,剧情喜剧犯罪,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.jpg,
80,七宗罪,8.8,大卫·芬奇DavidFincher,摩根·弗里曼MorganFreeman/布,1995,美国,剧情犯罪悬疑惊悚,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2219586434.jpg,
81,沉默的羔羊,8.8,乔纳森·戴米JonathanDemme,朱迪·福斯特JodieFoster/安,1991,美国,剧情犯罪惊悚,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg,
82,蝴蝶效应,8.8,埃里克·布雷斯EricBress/J·麦基·格鲁伯J.MackyeGruber主,未知,未知,未知,未知,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.jpg,
83,禁闭岛,8.8,未知,莱昂纳多·迪卡普里奥LeonardoDiCaprio/,2010,美国,剧情悬疑惊悚,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1832875827.jpg,
84,春光乍泄,8.9,MartinScorsese,张国荣LeslieCheung/梁朝伟TonyLeu,1997,中国香港日本韩国,剧情爱情同性,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p465939041.jpg,
85,心灵捕手,8.9,王家卫KarWaiWong,马特·达蒙MattDamon/罗宾·,1997,美国,剧情,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480965695.jpg,
86,布达佩斯大饭店,8.8,格斯·范·桑特GusVanSant,拉尔夫·费因斯RalphFiennes/,2014,美国德国英国,剧情喜剧冒险,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2178872593.jpg,
87,被嫌弃的松子的一生,8.9,韦斯·安德森WesAnderson,中谷美纪MikiNakatani/瑛太E,2006,日本,剧情歌舞,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p884763596.jpg,
88,阿凡达,8.7,中岛哲也TetsuyaNakashima,萨姆·沃辛顿SamWorthington,2009,美国英国,动作科幻冒险,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2180085848.jpg,
89,摩登时代,9.3,詹姆斯·卡梅隆JamesCameron,查理·卓别林CharlesChaplin,1936,美国,剧情喜剧爱情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263408369.jpg,
90,剪刀手爱德华,8.7,查理·卓别林CharlesChaplin,约翰尼·德普JohnnyDepp/薇诺娜·,1990,美国,剧情奇幻爱情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p480956937.jpg,
91,勇敢的心,8.9,蒂姆·波顿TimBurton,梅尔·吉布森MelGibson/苏菲·玛,1995,美国,动作传记剧情历史战争,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2218094815.jpg,
92,天使爱美丽,8.7,梅尔·吉布森MelGibson,奥黛丽·塔图AudreyTau,2001,法国德国,喜剧爱情,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2447590313.jpg,
93,喜剧之王,8.7,让-皮埃尔·热内Jean-PierreJeunet,周星驰StephenCh,1999,中国香港,喜剧剧情爱情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2579932167.jpg,
94,致命ID,8.8,周星驰StephenChow/李力持Lik-ChiLee,约翰·库萨克JohnCusack/雷,2003,美国,剧情悬疑惊悚,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2558364386.jpg,
95,加勒比海盗,8.7,詹姆斯·曼高德JamesMangold,约翰尼·德普JohnnyDepp/,2003,美国,动作冒险奇幻,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1596085504.jpg,
96,断背山,8.8,戈尔·维宾斯基GoreVerbinski,希斯·莱杰HeathLedger/杰克·吉伦哈尔Jake,2005,美国加拿大,剧情爱情同性家庭,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2514704949.jpg,
